income,debt_to_income_ratio,credit_utilization,late_payments,loan_amount,employment_length,age,default
48175.0,0.229,0.928,1,13644.0,26,25,0
36616.0,0.55,0.836,1,29730.0,23,63,0
35831.0,0.341,0.223,2,4885.0,7,24,0
57589.0,0.458,0.249,0,5643.0,10,54,0
78686.0,0.375,0.64,2,4585.0,18,42,0
57400.0,0.409,0.31,0,28819.0,0,37,0
53220.0,0.215,0.711,2,11301.0,25,47,0
59287.0,0.183,0.56,2,14795.0,8,37,0
74590.0,0.227,0.546,1,11778.0,2,63,0
58291.0,0.135,0.796,0,7445.0,10,73,0
48836.0,0.531,0.689,0,13119.0,25,65,0
71594.0,0.206,0.074,1,34666.0,8,44,0
61431.0,0.359,0.095,0,26137.0,16,48,0
78036.0,0.486,0.591,1,8176.0,25,45,0
57749.0,0.481,0.488,3,20181.0,1,63,0
36633.0,0.291,0.284,0,8348.0,23,50,0
34478.0,0.312,0.427,1,1000.0,8,46,0
79764.0,0.597,0.732,0,23156.0,21,43,0
80855.0,0.421,0.794,0,24281.0,5,41,0
52307.0,0.498,0.555,0,23368.0,4,50,0
49252.0,0.546,0.397,1,11241.0,24,58,0
76922.0,0.483,0.294,0,13666.0,25,44,0
38394.0,0.152,0.52,2,20998.0,30,64,0
41579.0,0.359,0.333,1,18132.0,20,65,0
64650.0,0.106,0.558,2,11851.0,14,44,0
49081.0,0.409,0.659,5,2047.0,6,70,0
54923.0,0.575,0.109,3,15911.0,9,30,0
52548.0,0.332,0.051,1,23632.0,20,71,0
60064.0,0.288,0.241,1,5419.0,10,36,0
76112.0,0.07,0.855,2,20110.0,14,51,0
56359.0,0.578,0.632,1,17652.0,5,36,0
64659.0,0.107,0.205,2,21001.0,13,44,0
24247.0,0.073,0.851,0,21976.0,7,39,0
54269.0,0.185,0.473,0,9444.0,3,59,0
42352.0,0.086,0.478,3,2064.0,4,25,0
36718.0,0.3,0.892,2,10732.0,16,66,0
41828.0,0.334,0.104,0,22113.0,11,69,0
49988.0,0.222,0.244,2,10664.0,3,51,0
68739.0,0.078,0.577,2,9448.0,15,50,0
35104.0,0.111,0.226,0,1000.0,5,58,0
55459.0,0.261,0.662,1,29021.0,0,31,0
47737.0,0.083,0.243,0,21606.0,4,61,0
50085.0,0.434,0.139,2,21159.0,13,32,0
70041.0,0.164,0.236,1,22742.0,29,57,0
63072.0,0.216,0.43,2,19614.0,7,37,0
75061.0,0.267,0.209,2,13045.0,8,61,0
52682.0,0.279,0.171,2,13690.0,7,63,0
44561.0,0.051,0.824,0,11579.0,11,32,0
51642.0,0.112,0.338,1,36078.0,22,54,0
58637.0,0.525,0.375,0,19447.0,9,47,0
57649.0,0.051,0.1,0,11290.0,20,36,0
38734.0,0.329,0.372,1,18724.0,27,52,0
56357.0,0.319,0.288,1,6913.0,29,74,0
58423.0,0.233,0.599,0,27036.0,17,21,0
92762.0,0.287,0.235,1,9711.0,22,72,0
83153.0,0.479,0.85,1,19009.0,28,67,0
42201.0,0.513,0.887,0,23528.0,24,49,0
50689.0,0.193,0.14,0,18078.0,9,53,0
33048.0,0.227,0.147,1,15756.0,4,40,0
46139.0,0.183,0.154,2,15086.0,3,27,0
59734.0,0.314,0.608,1,14548.0,27,51,0
73088.0,0.426,0.16,1,10386.0,17,65,0
44064.0,0.176,0.817,1,11404.0,9,33,0
45188.0,0.232,0.729,2,26837.0,10,59,0
22791.0,0.562,0.788,2,14132.0,8,61,0
52560.0,0.077,0.523,4,8714.0,24,61,0
39064.0,0.303,0.947,1,10870.0,18,39,0
47058.0,0.441,0.09,0,23803.0,27,42,0
41847.0,0.133,0.411,2,20405.0,9,43,0
53586.0,0.076,0.342,2,19483.0,14,67,0
28634.0,0.126,0.904,2,12940.0,3,69,0
32994.0,0.555,0.569,0,19587.0,30,43,0
86939.0,0.055,0.776,0,9852.0,15,73,0
35689.0,0.154,0.203,1,12923.0,17,51,1
38548.0,0.067,0.931,1,22758.0,12,41,0
82554.0,0.111,0.499,2,21994.0,8,21,0
98576.0,0.391,0.494,1,7145.0,29,53,0
37427.0,0.183,0.924,2,8156.0,15,55,0
49476.0,0.363,0.393,0,15870.0,20,73,0
60123.0,0.375,0.408,2,28809.0,1,59,0
80930.0,0.517,0.576,1,1000.0,8,22,0
40197.0,0.053,0.165,1,17227.0,24,51,0
51321.0,0.519,0.339,1,3992.0,2,61,0
66660.0,0.391,0.224,1,9925.0,3,47,0
61521.0,0.14,0.143,1,12085.0,25,44,0
49358.0,0.475,0.83,1,11636.0,9,64,1
52993.0,0.521,0.58,2,10730.0,8,54,0
34377.0,0.19,0.373,2,15058.0,17,57,0
51427.0,0.555,0.418,2,10718.0,6,46,0
51004.0,0.3,0.438,1,3300.0,1,36,0
58483.0,0.382,0.62,0,21239.0,0,49,0
46670.0,0.592,0.884,1,21023.0,2,72,0
62073.0,0.249,0.89,4,21745.0,4,53,0
70191.0,0.497,0.402,2,2674.0,21,59,0
57331.0,0.225,0.346,1,17391.0,9,27,0
60276.0,0.49,0.456,0,20408.0,2,74,0
55797.0,0.38,0.561,1,6750.0,0,34,0
55001.0,0.169,0.466,1,15073.0,14,73,0
44177.0,0.278,0.643,0,14070.0,26,45,0
59747.0,0.225,0.549,0,29737.0,10,70,0
53541.0,0.093,0.339,0,30396.0,1,69,0
86398.0,0.066,0.361,0,1685.0,7,61,0
78600.0,0.241,0.391,0,34951.0,15,70,0
60788.0,0.06,0.135,0,7678.0,5,53,0
43554.0,0.141,0.199,0,22845.0,30,66,0
38314.0,0.449,0.701,1,22764.0,23,30,0
72867.0,0.439,0.4,1,7034.0,10,24,0
58941.0,0.456,0.243,0,18946.0,29,50,0
62202.0,0.224,0.556,0,14140.0,10,64,0
28831.0,0.54,0.73,0,19435.0,4,62,0
68912.0,0.377,0.282,4,16845.0,29,49,0
61816.0,0.119,0.794,1,24571.0,29,49,0
38344.0,0.129,0.885,3,15603.0,9,53,0
47927.0,0.431,0.588,2,13657.0,18,67,0
58956.0,0.145,0.652,1,23769.0,5,66,0
55787.0,0.329,0.097,2,19643.0,19,26,0
50617.0,0.595,0.901,1,20855.0,21,53,0
53448.0,0.052,0.403,4,9683.0,22,41,0
51220.0,0.059,0.882,0,6638.0,17,64,0
57288.0,0.596,0.571,1,10458.0,21,48,0
77072.0,0.372,0.054,1,10033.0,17,74,0
16500.0,0.12,0.085,1,21290.0,25,44,0
51447.0,0.544,0.662,1,22808.0,5,57,0
57648.0,0.534,0.556,2,13759.0,14,26,0
59440.0,0.345,0.074,1,26447.0,12,71,0
49421.0,0.392,0.719,0,25948.0,16,29,0
28649.0,0.2,0.817,1,16947.0,4,41,0
59920.0,0.078,0.497,1,8425.0,10,66,0
80910.0,0.377,0.469,2,27603.0,29,73,0
31992.0,0.212,0.055,4,14512.0,3,47,0
67957.0,0.415,0.758,1,16009.0,19,47,0
50072.0,0.51,0.348,2,12283.0,20,23,0
54080.0,0.06,0.841,1,7882.0,14,73,0
39207.0,0.378,0.386,2,3251.0,1,21,0
49983.0,0.177,0.559,2,20063.0,1,22,0
74501.0,0.531,0.293,1,8733.0,8,46,0
63740.0,0.19,0.195,1,39476.0,3,21,0
80985.0,0.386,0.747,2,6311.0,2,29,0
72661.0,0.354,0.497,1,4941.0,4,54,0
61586.0,0.268,0.533,2,19081.0,5,59,0
81159.0,0.423,0.919,0,27235.0,25,37,0
61585.0,0.449,0.917,3,15517.0,19,63,0
67420.0,0.362,0.82,1,19578.0,0,53,0
50551.0,0.467,0.219,0,1000.0,19,33,0
55998.0,0.591,0.585,2,9580.0,4,59,0
44539.0,0.281,0.84,1,6411.0,13,52,0
69844.0,0.333,0.387,1,1000.0,1,64,0
37325.0,0.057,0.141,1,15936.0,2,29,0
66735.0,0.488,0.78,1,1000.0,4,33,0
52140.0,0.336,0.484,0,4422.0,13,37,0
72569.0,0.274,0.558,1,10702.0,14,39,0
66263.0,0.102,0.934,1,8350.0,10,68,0
82310.0,0.539,0.596,3,18171.0,19,60,0
65962.0,0.267,0.432,1,17445.0,22,50,0
31419.0,0.425,0.383,1,22150.0,22,50,0
53996.0,0.132,0.426,0,21019.0,17,68,0
37420.0,0.579,0.157,1,24127.0,16,45,0
47226.0,0.148,0.765,1,14985.0,15,33,0
77668.0,0.16,0.804,0,17428.0,7,28,0
64563.0,0.522,0.306,1,19092.0,15,38,0
44516.0,0.552,0.323,1,16133.0,0,56,0
39794.0,0.167,0.837,1,11822.0,29,46,0
55492.0,0.308,0.072,2,12340.0,11,43,0
36752.0,0.453,0.518,2,8460.0,23,46,0
44933.0,0.533,0.467,1,18373.0,29,73,0
59680.0,0.258,0.671,2,14248.0,15,74,0
72330.0,0.334,0.197,1,9695.0,26,29,0
64131.0,0.458,0.651,2,9702.0,14,27,0
20631.0,0.452,0.389,3,5317.0,4,34,0
59566.0,0.481,0.607,2,22831.0,0,67,0
56081.0,0.363,0.086,1,15629.0,4,45,0
61208.0,0.108,0.466,2,8098.0,29,67,0
79243.0,0.547,0.52,0,21468.0,14,55,0
24051.0,0.526,0.243,1,10516.0,9,50,0
46133.0,0.489,0.176,0,3748.0,13,36,0
63864.0,0.105,0.22,0,23170.0,7,39,0
31276.0,0.162,0.36,2,10703.0,26,28,0
77139.0,0.459,0.137,0,11729.0,30,49,0
60525.0,0.063,0.903,3,15329.0,2,36,0
67699.0,0.589,0.414,0,24141.0,22,36,0
46436.0,0.257,0.778,0,15160.0,10,23,0
67206.0,0.446,0.927,1,5407.0,1,64,0
71027.0,0.538,0.123,0,19351.0,28,71,0
58493.0,0.267,0.637,3,11120.0,1,47,0
58516.0,0.226,0.834,1,30103.0,6,49,0
59055.0,0.385,0.621,1,14991.0,0,70,0
42050.0,0.37,0.436,1,1000.0,14,48,0
52787.0,0.275,0.438,2,17859.0,18,54,0
52712.0,0.381,0.082,1,30557.0,9,44,1
60751.0,0.564,0.531,1,27607.0,2,48,1
69997.0,0.307,0.944,0,29648.0,3,49,0
39122.0,0.158,0.913,3,6842.0,28,59,0
53125.0,0.257,0.086,0,22297.0,24,53,0
77222.0,0.267,0.685,1,9224.0,29,48,0
43846.0,0.122,0.322,0,16794.0,16,25,0
42666.0,0.14,0.863,1,4816.0,16,69,0
58035.0,0.427,0.091,0,9844.0,24,68,0
67666.0,0.237,0.892,1,9590.0,19,30,0
55171.0,0.575,0.804,1,22188.0,13,36,0
74934.0,0.184,0.156,1,21406.0,9,73,0
67852.0,0.104,0.104,1,17215.0,15,38,0
67627.0,0.464,0.801,2,4197.0,1,64,0
63312.0,0.535,0.19,0,12507.0,5,63,0
89915.0,0.203,0.531,0,9031.0,22,67,0
51923.0,0.161,0.874,0,21957.0,26,21,0
24947.0,0.152,0.561,1,24425.0,3,47,0
79064.0,0.337,0.408,1,23451.0,3,51,0
48135.0,0.308,0.451,2,8958.0,2,66,0
56618.0,0.193,0.107,0,1000.0,24,33,0
74643.0,0.075,0.922,0,1000.0,9,37,0
30966.0,0.315,0.33,1,26373.0,10,30,0
36225.0,0.578,0.22,1,11790.0,0,62,0
30981.0,0.409,0.307,2,8994.0,30,74,0
43088.0,0.323,0.918,1,28141.0,13,28,0
61595.0,0.111,0.135,1,25121.0,24,33,0
62863.0,0.189,0.831,2,15196.0,21,37,0
59144.0,0.212,0.687,1,12653.0,4,69,0
33809.0,0.471,0.797,1,13943.0,24,45,0
20348.0,0.532,0.928,1,16817.0,17,36,0
55815.0,0.546,0.808,1,27800.0,18,38,0
47923.0,0.592,0.899,0,18380.0,6,53,0
61891.0,0.59,0.164,1,20808.0,26,41,0
65529.0,0.574,0.766,2,24354.0,28,28,0
57074.0,0.09,0.541,2,5643.0,12,65,0
66402.0,0.126,0.539,0,21039.0,2,43,0
58438.0,0.217,0.859,0,12643.0,26,34,0
62951.0,0.354,0.925,0,1000.0,27,60,0
44430.0,0.103,0.684,2,1000.0,15,61,0
52306.0,0.515,0.485,1,6855.0,17,29,0
57952.0,0.389,0.461,2,19250.0,6,24,0
67308.0,0.348,0.398,0,15910.0,2,23,0
49094.0,0.141,0.375,2,16475.0,29,62,0
62818.0,0.189,0.402,0,30608.0,14,54,0
51012.0,0.138,0.131,0,4847.0,8,63,0
53237.0,0.519,0.12,2,14781.0,21,54,0
67443.0,0.371,0.752,3,17435.0,0,42,0
25104.0,0.454,0.451,1,9110.0,2,52,0
35553.0,0.213,0.888,2,15227.0,7,60,0
32767.0,0.254,0.601,2,2200.0,13,42,0
19996.0,0.273,0.082,1,26279.0,11,70,0
44826.0,0.468,0.192,0,9547.0,5,69,0
66242.0,0.475,0.235,1,31251.0,10,64,0
50727.0,0.164,0.928,1,14740.0,10,74,0
57967.0,0.568,0.247,0,23224.0,16,42,0
71338.0,0.116,0.514,1,14574.0,17,27,0
74915.0,0.543,0.893,2,14754.0,27,47,0
53963.0,0.105,0.929,3,10328.0,25,61,0
75304.0,0.195,0.263,2,15953.0,9,63,0
56382.0,0.516,0.094,3,17544.0,27,41,0
42439.0,0.149,0.188,3,8726.0,16,36,0
46084.0,0.277,0.107,0,14000.0,5,45,0
32792.0,0.297,0.226,1,10119.0,10,64,0
41678.0,0.185,0.562,1,33397.0,22,24,0
49630.0,0.441,0.871,1,14282.0,25,38,0
67054.0,0.518,0.533,2,27362.0,11,33,0
80812.0,0.531,0.613,3,13435.0,4,64,0
34267.0,0.237,0.232,1,17074.0,5,46,0
60892.0,0.342,0.771,0,4429.0,3,25,0
39392.0,0.187,0.606,3,11423.0,21,35,0
62120.0,0.185,0.828,1,16684.0,15,23,0
53034.0,0.139,0.904,3,27688.0,13,46,0
27536.0,0.567,0.363,1,16776.0,20,74,0
68924.0,0.538,0.132,3,26070.0,25,51,0
45925.0,0.478,0.253,0,20126.0,24,67,0
46991.0,0.335,0.444,0,28019.0,4,61,0
38954.0,0.32,0.901,0,14528.0,18,68,0
45186.0,0.341,0.39,2,34122.0,27,37,0
61418.0,0.345,0.744,0,11117.0,23,72,0
52161.0,0.289,0.536,0,8868.0,10,33,0
59930.0,0.122,0.215,1,5320.0,12,44,0
60429.0,0.119,0.339,1,33648.0,27,57,0
74810.0,0.574,0.638,1,21556.0,1,36,0
49858.0,0.315,0.656,2,12327.0,16,35,0
32847.0,0.574,0.441,0,24992.0,3,28,0
71008.0,0.14,0.256,3,20502.0,27,21,0
50028.0,0.355,0.7,0,30729.0,1,48,0
71719.0,0.164,0.202,2,2617.0,0,74,0
60751.0,0.189,0.893,3,12877.0,10,32,0
53033.0,0.067,0.219,0,11300.0,6,44,0
60232.0,0.115,0.147,4,1000.0,15,71,0
84265.0,0.554,0.498,1,23483.0,9,62,0
86155.0,0.227,0.518,0,12837.0,11,21,0
56041.0,0.384,0.507,0,20917.0,17,48,0
57403.0,0.306,0.443,1,33878.0,17,28,0
71144.0,0.27,0.945,0,12174.0,28,34,0
42315.0,0.343,0.488,1,11631.0,14,34,0
59996.0,0.153,0.48,0,15949.0,17,54,0
54612.0,0.594,0.43,1,22898.0,21,31,0
59709.0,0.5,0.11,2,10466.0,5,34,0
42499.0,0.458,0.584,4,9952.0,20,33,0
31156.0,0.308,0.255,2,23458.0,26,40,0
23905.0,0.134,0.624,3,18029.0,9,56,0
38239.0,0.556,0.096,0,1000.0,5,42,0
48120.0,0.238,0.933,1,5197.0,10,38,0
50602.0,0.078,0.472,1,27010.0,8,48,0
84058.0,0.238,0.857,0,18215.0,18,54,0
71590.0,0.487,0.478,1,8902.0,26,21,0
40569.0,0.392,0.104,1,13637.0,18,69,0
60216.0,0.463,0.79,1,15106.0,3,70,0
48894.0,0.486,0.633,1,20886.0,9,53,0
50735.0,0.167,0.754,2,4134.0,21,52,0
57780.0,0.558,0.435,1,8272.0,10,58,0
64288.0,0.291,0.624,0,17184.0,18,44,0
49911.0,0.401,0.821,1,14201.0,21,40,0
70958.0,0.051,0.618,3,19575.0,10,40,0
37871.0,0.596,0.363,1,5164.0,20,29,0
55095.0,0.204,0.646,0,17857.0,12,66,0
93965.0,0.084,0.655,0,23733.0,4,38,0
58346.0,0.302,0.915,2,18895.0,11,36,0
76498.0,0.121,0.384,3,16113.0,13,73,0
56373.0,0.134,0.433,3,14233.0,0,48,0
63712.0,0.398,0.781,1,8321.0,27,54,0
54148.0,0.266,0.505,1,14424.0,16,34,0
52444.0,0.557,0.713,0,25078.0,1,35,0
43308.0,0.226,0.464,0,14048.0,26,60,0
61455.0,0.449,0.244,1,7882.0,26,45,0
42227.0,0.304,0.721,0,11062.0,0,28,0
64984.0,0.413,0.168,1,16607.0,5,66,0
71279.0,0.38,0.229,3,12012.0,11,42,0
60498.0,0.31,0.614,0,18882.0,15,57,0
50706.0,0.573,0.723,1,19183.0,22,39,0
61809.0,0.238,0.855,3,22112.0,13,51,0
50370.0,0.147,0.295,2,26388.0,18,62,0
69033.0,0.423,0.15,0,22967.0,0,68,0
27529.0,0.515,0.91,0,7526.0,20,32,0
49966.0,0.072,0.189,1,7772.0,28,57,0
25138.0,0.297,0.228,1,14394.0,16,70,0
32574.0,0.541,0.312,3,11391.0,14,55,0
